Restaurante,Puntaje
Tio Joe,"4,5"
Restaurante Fukamura,"4,5"
Terrazza Ravello,"4,5"
Palo Cortao,"4,5"
Contempo Gastrobar,"4,5"
Catalunya Restaurante,"4,5"
Restaurante BarcelonaMilano,"4,0"
Tragaluz,"4,0"
El Rebost d'Hostafrancs,"4,5"
Restaurante L'hortet,"4,5"
BRO Room,"4,5"
Paradiso,"4,5"
Taverna El Glop,"4,0"
Luigi Ristorante,"4,5"
Cecconi's Barcelona,"4,5"
La Pastisseria Barcelona,"4,5"
Can Fisher,"4,5"
El Dorado Chicken,"4,5"
La Royale,"3,5"
Brunch & Cake,"4,0"
Cocina Hermanos Torres,"4,5"
Spark,"4,5"
Ziryab bar de tapas fusión mediterránea,"4,5"
Milk Bar & Bistro,"4,5"
Restaurante el Porvenir,"4,5"
"La Tagliatella C/ Josep Tarradellas, Barcelona","3,5"
Miseria e Nobiltà,"4,5"
Nineteen Restaurant,"4,5"
La Real Hamburguesería,"4,5"
Dos Palillos,"4,0"
Alba Granados,"4,0"
Casa Delfin,"4,0"
La Pepita,"4,5"
Tapas 24,"3,5"
Madre Taberna Moderna,"4,5"
Mannà Gelats,"5,0"
My Way Lounge Restaurant,"4,5"
Gelaaati Di Marco,"4,5"
Donizetti,"4,5"
Restaurant Windsor,"4,5"
Fenicia,"4,5"
Rekons,"4,5"
Season Tapas Restaurant,"4,5"
The Sopa Boba,"4,5"
Chivuo's Slow Street Food & Craft Beer,"4,5"
Taquerías Tamarindo,"4,5"
La Central Burgers,"4,5"
Restaurante Leku,"4,5"
Big Al's American Kitchen,"4,5"
Kitsune Sushi Bar Gràcia,"4,5"
A Tu Bola,"4,5"
Blavis,"5,0"
Rasoterra,"4,5"
La Colosal,"4,5"
Restaurante Seoul,"4,5"
Ascent Restaurant,"4,5"
Abirradero,"4,5"
Flax and Kale  Passage,"4,5"
La Bombeta,"4,0"
Restaurante Barceloneta,"4,0"
La Terraza Miro,"4,5"
CocoVail Beer Hall,"4,5"
Pizza Circus,"4,5"
Cruix,"4,5"
El Clot Restaurante Barcelona,"4,5"
La Mar Salada,"4,0"
Restaurante Hofmann,"4,5"
Karakala,"4,5"
La Poma Restaurant,"3,5"
Panam '75,"4,5"
Lluis de les Moles,"4,5"
Fonda Espanya Restaurante,"4,5"
Bistro Helena,"4,5"
BEMBI,"4,5"
Rincón Persa,"4,5"
Horchateria Sirvent,"4,5"
Caelis,"4,5"
Restaurant Ca L'Estevet,"4,5"
Arepamundi,"4,5"
La Catrina de Barcelona,"4,5"
L'Antica Pizzeria Da Michele BCN,"3,5"
La Clara Restaurant,"4,0"
Agua,"4,0"
Marisquerías La Paradeta,"4,5"
Citizen Café,"4,5"
El Trapío Restaurante,"4,0"
La Lluna Restaurant,"4,0"
Restaurante Can Cargol,"3,5"
Lateral Consell de Cent,"3,5"
Coure,"4,0"
Boca Chica,"4,0"
Cal Pep,"4,0"
Ocaña,"4,0"
Sumac & Mambo,"5,0"
Santa Ceviche,"4,5"
Fismuler,"4,0"
El Raco de l'Aguir,"4,5"
Olivos Comida y Vinos,"5,0"
El Xalet de Montjuïc,"3,5"
Mosquito,"4,0"
Pim Pam Burger,"4,0"
Flash Flash,"3,5"
Wakasa,"4,5"
Churrería Laietana,"5,0"
La Selva,"4,5"
Totoro,"4,0"
Carballeira,"4,0"
El Japones del Tragaluz,"4,0"
Casa Rafols,"4,5"
Guzzo,"4,5"
My Fucking Restaurant,"4,5"
Taller de Tapas - Rambla Catalunya,"4,0"
La Taberna de Sants,"4,5"
El Magraner Boig,"4,5"
Deja Burg,"4,5"
Secrets Del Mediterrani,"4,5"
Bangkok Cafe,"4,0"
Restaurante Cheriff,"3,5"
Passadís del Pep,"4,0"
Restaurante O-Retorniño,"4,5"
National burger Barcelona,"4,5"
